FILA,PLANTA,CLL,NDVI,CVI,GNDVI,NRVI,RVI,GCI
11,11,147.71,0.22376414464991892,20.221.578.454.596.100,0.4953284194371961,0.22376414466052347,15.787.269.229.807.400,14.954.831.084.808.000
10,13,129.36,0.2338430331341006,19.563.394.782.676.600,0.5452473660650807,0.23384303315430474,16.127.617.139.720.400,15.454.304.503.527.400
9,15,116.25,0.2315071328186168,25.190.644.367.896.200,0.5414244434322462,0.2315071329252626,16.047.235.062.815.400,15.415.911.921.771.500
8,17,127.04,0.23673531487789817,1.753.442.594.292.650,0.5782824229586855,0.23673531497828149,16.224.827.176.888.600,15.784.753.103.798.600
7,20,133.59,0.23230717165061182,17.844.378.794.649.200,0.5681909299940993,0.232307171842561,16.070.546.409.321.100,15.683.726.208.152.300
6,22,97.06,0.22840915570074558,25.836.587.081.574.100,0.4858808641729146,0.2284091558566722,15.937.387.270.071.500,14.860.165.431.431.100
5,24,139.91,0.23794987390673325,13.748.237.178.908.100,0.5780807676129563,0.23794987388441038,16.263.451.171.585.200,1.578.293.336.395.810
4,26,97.43,0.23646005147240248,13.990.365.178.575.100,0.5826886226209093,0.23646005150916902,16.205.818.780.686.400,15.828.863.000.948.100
3,27,112.28,0.23528264015085698,11.153.517.587.871.000,0.5097285083257626,0.2352826404770088,16.172.221.587.326.900,1.509.954.253.336.110
2,28,117.72,0.230177109141609,17.760.160.249.002.600,0.5174342149015104,0.23017710918846798,15.992.800.279.019.200,15.176.028.686.606.500
